tour_code,country,city,title,hotel,stars,meal,days,nights,adults,children,departure_city,price,currency,rating,available,last_update,price_status,price_source,notes
NP-001,Nepal,Kathmandu,"Гималаи и древние храмы","Himalaya Resort",4,"Завтраки",10,9,2,1,Moscow,145000,RUB,4.9,true,2026-08-07,INTERNAL_MVP,course_demo_catalog,"Цена используется как внутренний каталог MVP; не выдавать за подтвержденную рыночную цену внешнего туроператора"
KG-002,Kyrgyzstan,Issyk-Kul,"Иссык-Куль и Тянь-Шань",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
RU-003,Russia,Lake Baikal,"Байкал и остров Ольхон",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
TZ-004,Tanzania,Serengeti,"Сафари и Килиманджаро",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
GE-005,Georgia,Tbilisi,"Тбилиси и Казбеги",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
UZ-006,Uzbekistan,Samarkand,"Самарканд и Великий шелковый путь",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
DK-007,Denmark,Copenhagen,"Копенгаген",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
CZ-008,Czechia,Prague,"Прага",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
EG-009,Egypt,Cairo,"Египет: Каир и Красное море",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
TR-010,Turkey,Istanbul,"Турция: Стамбул и Анталья",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
IT-011,Italy,Rome,"Италия: Рим",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
FR-012,France,Paris,"Франция: Париж",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
GR-013,Greece,Athens,"Греция: Афины и острова",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
MV-014,Maldives,Maldives,"Мальдивы",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
ID-015,Indonesia,Bali,"Бали",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
JP-016,Japan,Tokyo,"Япония: Токио, Фудзи и Киото",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Направление зарегистрировано; коммерческие параметры ещё не подтверждены"
CR-017,Mediterranean,Mediterranean,"Средиземноморский круиз",,0,,0,0,0,0,,,RUB,0,false,2026-08-07,UNVERIFIED,,"Маршрут, судно и цена должны быть подтверждены перед публикацией"
